product_name;customer_name;count;sum
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes";Victoria Pisteka;2;657.41
#10 Self-Seal White Envelopes;Deanra Eno;2;742.03
Accohide Poly Flexible Ring Binders;Brad Thomas;2;88.94
Avery 510;Theresa Swint;2;197.89
Avery White Multi-Purpose Labels;Maya Herman;2;204.44
Bagged Rubber Bands;Cindy Chapman;2;61.90
Bevis 36 x 72 Conference Tables;;22;74365.62
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;;22;104483.15
Canon PC940 Copier;Clytie Kelty;2;40780.52
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table";Katherine Nockton;2;11871.92
Dixon My First Ticonderoga Pencil. #2;Michael Granlund;2;293.31
Eldon Expressions Punched Metal & Wood Desk Accessories. Pewter & Cherry;Mathew Reese;2;607.08
EldonŽ 500 Class™ Desk Accessories;Lena Creighton;3;1008.83
Fellowes Bankers Box™ StaxonsteelŽ Drawer File/Stacking System;Jennifer Patt;2;3299.04
Fellowes StaxonsteelŽ Drawer Files;Linda Southworth;2;9301.80
FiskarsŽ Softgrip Scissors;Shahid Shariari;2;557.93
FiskarsŽ Softgrip Scissors;;22;5566.31
G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Brad Thomas;2;467.99
"GBC Pre-Punched Binding Paper. Plastic. White. 8-1/2"" x 11""";Tony Sayre;2;617.42
Global High-Back Leather Tilter. Burgundy;;24;82752.20
Heavy-Duty E-Z-DŽ Binders;Lena Creighton;2;355.38
Hewlett-Packard 4.7GB DVD+R Discs;Joni Wasserman;2;626.94
i600;Michael Stewart;2;2792.37
"IBM Multi-Purpose Copy Paper. 8 1/2 x 11"". Case";Dennis Kane;2;1488.35
Imation Neon 80 Minute CD-R Spindle. 50/Pack;Kean Thornton;2;1212.66
Letter Size Cart;Jim Epp;2;9642.74
Master Giant FootŽ Doorstop. Safety Yellow;John Dryer;2;446.65
Master Giant FootŽ Doorstop. Safety Yellow;;22;4039.33
Office Star - Contemporary Task Swivel chair with 2-way adjustable arms. Plum;Mitch Gastineau;2;11542.23
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms;Julia Barnett;2;9626.06
Prang Drawing Pencil Set;Erin Creighton;2;214.62
Presstex Flexible Ring Binders;George Ashbrook;2;144.60
Recycled Eldon Regeneration Jumbo File;Giulietta Dortch;2;478.59
"Rubbermaid ClusterMat Chairmats. Mat Size- 66"" x 60"". Lip 20"" x 11"" -90 Degree Angle";Hilary Holden;2;5919.91
Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set;Tracy Collins;2;242.74
Southworth 25% Cotton Premium Laser Paper and Envelopes;Larry Tron;2;1106.07
Tenex Personal Project File with Scoop Front Design. Black;Randy Bradley;2;404.42
"Tenex Traditional Chairmats for Medium Pile Carpet. Standard Lip. 36"" x 48""";Debra Catini;2;3129.98
V3682;Benjamin Venier;2;6423.60
Verbatim DVD-RAM. 9.4GB. Rewritable. Type 1. DS. DataLife Plus;Liz Price;2;3448.45
"Wilson Jones Hanging View Binder. White. 1""";;21;4259.71
Wirebound Voice Message Log Book;Pete Armstrong;2;160.12
Xerox 191;Amy Hunt;2;1124.39
Xerox 194;Adam Hart;2;1519.08
Xerox 1993;Cathy Armstrong;2;342.53
;Brad Thomas;35;36909.52
;Carlos Soltero;33;55575.09
;Darren Budd;41;81577.35
;Ed Braxton;38;75802.76
